Name,HighwayType,GeometryType,Lat,Lon,City
Speakers Corner,pedestrian,Polygon,43.448984466666666,-80.4880457,Kitchener
Gaukel Block,pedestrian,Polygon,43.44962562,-80.49327188,Kitchener
Highway 8,motorway,LineString,43.404236625,-80.379716325,Kitchener
Highway 8,motorway,LineString,43.414859533333335,-80.40478816666668,Kitchener
Highway 8,motorway,LineString,43.41462,-80.40489775,Kitchener
Highway 8,motorway,LineString,43.42231745714286,-80.42216470000001,Kitchener
Highway 8,motorway,LineString,43.422787187500006,-80.42307757500001,Kitchener
Highway 8,motorway,LineString,43.426872849999995,-80.43587211666666,Kitchener
Highway 401,motorway,LineString,43.3826553625,-80.40663376250001,Kitchener
Highway 401,motorway,LineString,43.40088360000001,-80.38119476666667,Kitchener
Highway 401,motorway,LineString,43.401939799999994,-80.37919485,Kitchener
Highway 401,motorway,LineString,43.401798400000004,-80.3789879,Kitchener
Highway 401,motorway,LineString,43.389162025000005,-80.4011442,Kitchener
Highway 8,motorway,LineString,43.40761525,-80.38536965,Kitchener
Highway 8,motorway,LineString,43.411911450000005,-80.39504255,Kitchener
Highway 8,motorway,LineString,43.413095199999994,-80.3991456,Kitchener
Sportsworld Drive,secondary,LineString,43.406973577777784,-80.39483182222223,Kitchener
Maple Grove Road,secondary,LineString,43.414252625,-80.38909740000001,Cambridge
Sportsworld Drive,secondary,LineString,43.41180475,-80.39084695,Kitchener
Heldmann Road,unclassified,LineString,43.4087393909091,-80.39539766363636,Kitchener
Gateway Park Drive,unclassified,LineString,43.405227725,-80.385970775,Kitchener
Tu Lane Street,unclassified,LineString,43.405339049999995,-80.38934605,Kitchener
Victoria Street North,primary,LineString,43.46161523333333,-80.47240233333333,Kitchener
King Street East,secondary,LineString,43.402845625,-80.38101675,Kitchener
Highway 401,motorway,LineString,43.36408173636364,-80.41413727272726,North Dumfries
Highway 401,motorway,LineString,43.362641110000006,-80.41498382,North Dumfries
King Street East,secondary,LineString,43.440318950000005,-80.46769090000001,Kitchener
Conestoga Parkway,motorway,LineString,43.410020875,-80.5422034,Kitchener
Conestoga Parkway,motorway,LineString,43.42064233333334,-80.50987127777778,Kitchener
Conestoga Parkway,motorway,LineString,43.429359766666664,-80.477539,Kitchener
Conestoga Parkway,motorway,LineString,43.429451400000005,-80.47601863333334,Kitchener
Conestoga Parkway,motorway,LineString,43.43627635,-80.4568068,Kitchener
Conestoga Parkway,motorway,LineString,43.43062697999999,-80.4676054,Kitchener
Conestoga Parkway,motorway,LineString,43.4501152,-80.46434815,Kitchener
Conestoga Parkway,motorway,LineString,43.44220751428572,-80.45625478571428,Kitchener
Conestoga Parkway,motorway,LineString,43.43631295,-80.45706775,Kitchener
Highway 8,motorway,LineString,43.4350905,-80.45273804,Kitchener
Highway 8,motorway,LineString,43.430761025,-80.440286475,Kitchener
Conestoga Parkway,motorway,LineString,43.45251580000001,-80.46627866666667,Kitchener
Conestoga Parkway,motorway,LineString,43.4614804,-80.47135186842105,Kitchener
Conestoga Parkway,motorway,LineString,43.46049055555556,-80.47130600555555,Kitchener
Victoria Street South,secondary,LineString,43.4527343,-80.4982261,Kitchener
Victoria Street North,secondary,LineString,43.45381504285715,-80.49675927142857,Kitchener
Edna Street,primary,LineString,43.460169788888884,-80.47486602222222,Kitchener
Highway 401,motorway,LineString,43.40053133333333,-80.38126026666667,Kitchener
Moore Avenue,unclassified,LineString,43.453925766666664,-80.50095493333335,Kitchener
Pine Street,residential,LineString,43.457097250000004,-80.511468275,Kitchener
Glasgow Street,tertiary,LineString,43.441855004761905,-80.54478067142857,Kitchener
Charles Street West,secondary,LineString,43.451384133333335,-80.49709293333335,Kitchener
Highway 8,motorway,LineString,43.41544061666667,-80.40739096666668,Kitchener
King Street East,secondary,LineString,43.41402148000001,-80.40443338,Kitchener
King Street East,secondary,LineString,43.415307899999995,-80.4051616,Kitchener
Union Boulevard,tertiary,LineString,43.455926000000005,-80.5173686888889,Kitchener
Fischer-Hallman Road,secondary,LineString,43.42566673333333,-80.52108184444445,Kitchener
Courtland Avenue East,secondary,LineString,43.42697572,-80.46634344,Kitchener
Westforest Trail,tertiary,LineString,43.42808912173913,-80.54435435652175,Kitchener
Highland Road West,secondary,LineString,43.42393708333333,-80.549184625,Kitchener
Brentwood Avenue,residential,LineString,43.44130198125,-80.461010175,Kitchener
Margaret Avenue,residential,LineString,43.45484485,-80.48625059999999,Kitchener
McGarry Drive,tertiary,LineString,43.42312818,-80.51963304,Kitchener
Homer Watson Boulevard,secondary,LineString,43.42833905,-80.48595495,Kitchener
Henry Sturm Trail,cycleway,LineString,43.437113066666676,-80.51453333333332,Kitchener
Forest Hill Drive,residential,LineString,43.427298150909095,-80.51611837636364,Kitchener
Cyprus Drive,residential,LineString,43.4275117,-80.51432172380953,Kitchener
Riverbend Drive,tertiary,LineString,43.46876839,-80.46958101999999,Kitchener
New Dundee Road,secondary,LineString,43.38525885,-80.40709545,Kitchener
Ira Needles Boulevard,secondary,LineString,43.419767225,-80.55268809374999,Kitchener
Huron Road,secondary,LineString,43.381770724999996,-80.4915712,Kitchener
Ontario Street South,unclassified,LineString,43.44894055,-80.49161059999999,Kitchener
David Street,residential,LineString,43.44481548571428,-80.49656812857144,Kitchener
Jubilee Drive,unclassified,LineString,43.44729290833334,-80.49929441666667,Kitchener
Walter Street,residential,LineString,43.45434436000001,-80.5065808,Kitchener
Highland Road East,tertiary,LineString,43.439375455555556,-80.49402497777777,Kitchener
Queen's Boulevard,tertiary,LineString,43.42931253333333,-80.52161406666666,Kitchener
Queen's Boulevard,tertiary,LineString,43.437597107692305,-80.50129600000001,Kitchener
Queen's Boulevard,tertiary,LineString,43.4399091,-80.49916573333333,Kitchener
Hoffman Street,residential,LineString,43.431172530000005,-80.476767065,Kitchener
Queen Street South,secondary,LineString,43.442826477777785,-80.49630682222224,Kitchener
Queen's Boulevard,tertiary,LineString,43.43783292857143,-80.50250462142856,Kitchener
South Drive,residential,LineString,43.43662198571429,-80.50208961428572,Kitchener
